price,installment,bedroom_count,bathroom_count,carport_count,land_area,building_area,location_encoded
1700000000.0,6000000.0,3,2,0,228.0,200.0,10
9000000000.0,33000000.0,7,5,4,673.0,900.0,2
1750000000.0,6000000.0,6,4,1,140.0,220.0,1
500000000.0,1000000.0,2,1,1,60.0,40.0,1
1400000000.0,5000000.0,6,3,0,120.0,250.0,19
2000000000.0,7000000.0,5,3,0,300.0,225.0,2
1500000000.0,5000000.0,4,4,2,95.0,110.0,10
4500000000.0,16000000.0,4,3,0,240.0,200.0,24
30000000000.0,111000000.0,8,6,0,596.0,800.0,13
2850000000.0,10000000.0,5,3,0,132.0,180.0,10
6300000000.0,23000000.0,4,3,3,800.0,400.0,18
775000000.0,2000000.0,2,1,1,98.0,50.0,12
1300000000.0,4000000.0,2,1,1,114.0,60.0,10
2000000000.0,7000000.0,3,2,1,100.0,218.0,4
8000000000.0,29000000.0,4,2,0,427.0,200.0,13
4850000000.0,18000000.0,7,5,5,513.0,350.0,8
1400000000.0,5000000.0,3,3,1,120.0,150.0,19
1570000000.0,5000000.0,3,2,1,102.0,180.0,20
2000000000.0,7000000.0,6,3,2,161.0,200.0,0
890000000.0,3000000.0,2,1,0,40.0,39.0,0
2100000000.0,7000000.0,24,24,0,245.0,462.0,17
1300000000.0,4000000.0,3,2,1,152.0,125.0,2
15000000000.0,55000000.0,12,14,6,660.0,837.0,24
550000000.0,2000000.0,2,1,1,72.0,36.0,19
450000000.0,1000000.0,2,1,1,60.0,45.0,26
3400000000.0,12000000.0,3,3,2,141.0,246.0,9
3270000000.0,12000000.0,6,4,0,166.0,240.0,15
1850000000.0,6000000.0,6,3,2,243.0,150.0,11
4000000000.0,14000000.0,3,2,1,320.0,170.0,15
4000000000.0,14000000.0,6,5,2,235.0,400.0,18
795000000.0,2000000.0,2,1,1,105.0,70.0,20
10000000000.0,37000000.0,3,2,2,916.0,250.0,9
3750000000.0,13000000.0,7,2,0,152.0,300.0,11
7000000000.0,26000000.0,6,6,9,504.0,700.0,3
52000000000.0,193000000.0,0,3,10,1100.0,250.0,7
835000000.0,3000000.0,2,2,0,108.0,67.0,12
5000000000.0,18000000.0,4,5,1,483.0,204.0,4
1500000000.0,5000000.0,3,2,0,165.0,120.0,13
6000000000.0,22000000.0,5,4,1,300.0,350.0,5
1800000000.0,6000000.0,3,2,1,140.0,170.0,24
1300000000.0,4000000.0,2,2,2,180.0,120.0,1
2200000000.0,8000000.0,3,2,1,153.0,110.0,6
26000000000.0,96000000.0,50,50,0,1000.0,1700.0,5
1350000000.0,5000000.0,2,3,2,80.0,100.0,6
300000000.0,1000000.0,4,3,0,140.0,100.0,0
1400000000.0,5000000.0,4,2,2,127.0,200.0,17
2500000000.0,9000000.0,2,1,1,185.0,160.0,18
1700000000.0,6000000.0,4,3,1,130.0,218.0,4
1440000000.0,5000000.0,3,2,1,140.0,150.0,1
16000000000.0,59000000.0,4,3,2,1010.0,1500.0,9
2600000000.0,9000000.0,7,4,1,321.0,482.0,4
1600000000.0,5000000.0,5,3,2,111.0,152.0,1
2750000000.0,10000000.0,5,6,2,286.0,450.0,10
18000000000.0,66000000.0,5,8,8,800.0,1000.0,18
8500000000.0,31000000.0,5,2,2,430.0,250.0,23
900000000.0,3000000.0,4,3,1,206.0,200.0,12
4400000000.0,16000000.0,5,2,4,300.0,290.0,10
1850000000.0,6000000.0,2,2,0,170.0,180.0,6
7900000000.0,29000000.0,7,2,0,341.0,270.0,7
4300000000.0,15000000.0,4,4,1,300.0,400.0,5
534000000.0,1000000.0,2,2,0,51.0,50.0,19
1100000000.0,4000000.0,4,1,0,97.0,90.0,0
935000000.0,3000000.0,4,3,2,140.0,100.0,1
900000000.0,3000000.0,2,1,1,97.0,50.0,21
380000000.0,1000000.0,0,0,0,60.0,50.0,11
2550000000.0,9000000.0,4,2,0,178.0,230.0,26
2500000000.0,9000000.0,4,2,0,132.0,200.0,4
778000000.0,2000000.0,3,2,0,201.0,139.0,19
3500000000.0,13000000.0,4,3,1,252.0,210.0,23
700000000.0,2000000.0,3,2,0,56.0,78.0,18
1650000000.0,6000000.0,13,13,4,110.0,160.0,12
1700000000.0,6000000.0,3,2,1,108.0,175.0,3
800000000.0,2000000.0,3,2,0,52.0,52.0,19
7900000000.0,29000000.0,5,4,0,360.0,500.0,5
4500000000.0,16000000.0,6,3,2,390.0,262.0,18
1900000000.0,7000000.0,6,3,0,161.0,200.0,0
1390000000.0,5000000.0,3,3,1,90.0,88.0,1
2500000000.0,9000000.0,24,8,0,233.0,326.0,3
820000000.0,3000000.0,0,0,0,75.0,140.0,21
1100000000.0,4000000.0,3,1,2,114.0,90.0,6
8740000000.0,32000000.0,1,1,0,437.0,1.0,7
650000000.0,2000000.0,4,1,2,125.0,80.0,19
2300000000.0,8000000.0,3,2,2,150.0,140.0,10
28500000000.0,105000000.0,4,7,0,1035.0,250.0,25
1200000000.0,4000000.0,3,2,1,112.0,100.0,1
5000000000.0,18000000.0,0,0,0,404.0,400.0,4
1500000000.0,5000000.0,3,3,0,120.0,180.0,10
28000000000.0,104000000.0,3,2,0,659.0,196.0,7
1000000000.0,3000000.0,3,3,2,80.0,80.0,24
14000000000.0,52000000.0,4,3,0,745.0,486.0,23
2000000000.0,7000000.0,3,4,1,90.0,270.0,10
950000000.0,3000000.0,2,2,0,108.0,216.0,21
450000000.0,1000000.0,2,1,1,86.0,56.0,19
15000000000.0,55000000.0,5,2,2,512.0,237.0,25
390000000.0,1000000.0,2,1,0,34.0,70.0,14
2200000000.0,8000000.0,3,2,2,224.0,126.0,18
6000000000.0,22000000.0,3,3,1,300.0,180.0,8
14000000000.0,52000000.0,4,4,2,400.0,535.0,9
4900000000.0,18000000.0,8,6,4,295.0,500.0,18
3000000000.0,11000000.0,3,3,2,102.0,140.0,13
6900000000.0,25000000.0,2,2,5,600.0,150.0,19
1950000000.0,7000000.0,2,2,0,59.0,56.0,13
9500000000.0,35000000.0,3,3,2,234.0,420.0,23
785000000.0,2000000.0,2,1,1,72.0,45.0,19
1760000000.0,6000000.0,3,2,1,180.0,140.0,17
1500000000.0,5000000.0,3,2,2,153.0,117.0,6
1400000000.0,5000000.0,4,3,2,168.0,300.0,17
11000000000.0,40000000.0,4,2,2,451.0,420.0,7
700000000.0,2000000.0,3,2,1,95.0,65.0,20
1950000000.0,7000000.0,3,2,0,102.0,130.0,22
3500000000.0,13000000.0,13,4,2,250.0,200.0,7
889000000.0,3000000.0,3,2,0,96.0,65.0,20
1750000000.0,6000000.0,2,2,1,180.0,180.0,6
2200000000.0,8000000.0,3,2,1,133.0,200.0,8
2900000000.0,10000000.0,3,2,2,200.0,150.0,8
3600000000.0,13000000.0,5,4,0,200.0,300.0,8
1750000000.0,6000000.0,4,3,0,143.0,100.0,13
495000000.0,1000000.0,2,1,0,69.0,40.0,12
1500000000.0,5000000.0,6,2,1,200.0,360.0,26
21000000000.0,78000000.0,4,2,1,864.0,300.0,7
1400000000.0,5000000.0,3,1,1,198.0,60.0,1
725000000.0,2000000.0,3,2,0,126.0,130.0,21
2850000000.0,10000000.0,4,3,0,150.0,185.0,9
11000000000.0,40000000.0,4,4,2,400.0,550.0,4
1150000000.0,4000000.0,2,1,1,101.0,70.0,6
1700000000.0,6000000.0,4,2,1,102.0,200.0,20
800000000.0,2000000.0,2,1,1,105.0,73.0,21
7500000000.0,27000000.0,4,5,2,300.0,400.0,8
175000000.0,650000.0,2,1,1,60.0,36.0,6
1570000000.0,5000000.0,4,2,1,150.0,124.0,3
9500000000.0,35000000.0,0,0,0,473.0,550.0,8
800000000.0,2000000.0,0,0,0,52.0,52.0,19
3500000000.0,13000000.0,5,4,4,373.0,400.0,6
1650000000.0,6000000.0,3,2,1,327.0,150.0,2
750000000.0,2000000.0,4,1,0,48.0,96.0,13
1630000000.0,6000000.0,3,3,1,120.0,150.0,19
439000000.0,1000000.0,2,1,1,60.0,40.0,12
12800000000.0,47000000.0,2,1,11,3000.0,433.0,19
18000000000.0,66000000.0,6,5,6,1260.0,900.0,15
6500000000.0,24000000.0,4,4,2,375.0,560.0,5
2000000000.0,7000000.0,3,3,2,156.0,250.0,22
202000000.0,751000.0,2,1,0,60.0,30.0,17
2300000000.0,8000000.0,3,2,2,147.0,145.0,22
425000000.0,1000000.0,2,1,1,70.0,40.0,12
500000000.0,1000000.0,2,1,1,84.0,45.0,10
1800000000.0,6000000.0,3,1,1,180.0,120.0,4
35000000000.0,130000000.0,13,4,0,1186.0,500.0,7
1100000000.0,4000000.0,2,2,1,100.0,65.0,10
3000000000.0,11000000.0,15,6,1,225.0,400.0,7
1050000000.0,3000000.0,2,2,1,91.0,52.0,17
1500000000.0,5000000.0,4,2,1,115.0,220.0,1
17000000000.0,63000000.0,7,4,8,483.0,260.0,7
1950000000.0,7000000.0,4,4,2,112.0,180.0,18
4700000000.0,17000000.0,6,3,0,534.0,754.0,3
10500000000.0,39000000.0,3,3,1,512.0,350.0,14
850000000.0,3000000.0,5,1,0,103.0,80.0,3
1800000000.0,6000000.0,4,2,0,225.0,170.0,6
1350000000.0,5000000.0,2,1,1,91.0,48.0,4
2400000000.0,8000000.0,7,3,3,216.0,320.0,2
1200000000.0,4000000.0,5,3,1,112.0,175.0,2
6000000000.0,22000000.0,3,3,1,240.0,245.0,8
3150000000.0,11000000.0,5,5,3,424.0,500.0,2
1490000000.0,5000000.0,2,2,1,160.0,120.0,13
800000000.0,2000000.0,3,1,1,120.0,80.0,1
600000000.0,2000000.0,3,2,0,60.0,41.0,2
3950000000.0,14000000.0,5,5,2,182.0,380.0,8
1990000000.0,7000000.0,4,3,2,104.0,125.0,0
5000000000.0,18000000.0,6,3,3,212.0,150.0,25
6800000000.0,25000000.0,4,4,2,288.0,400.0,18
1150000000.0,4000000.0,5,3,1,180.0,180.0,2
800000000.0,2000000.0,3,2,1,128.0,111.0,4
6000000000.0,22000000.0,4,2,0,260.0,195.0,1
600000000.0,2000000.0,2,1,0,76.0,60.0,3
1300000000.0,4000000.0,4,3,1,130.0,200.0,16
28000000000.0,104000000.0,3,2,0,653.0,196.0,7
35000000000.0,130000000.0,4,3,1,317.0,200.0,0
2200000000.0,8000000.0,4,2,1,194.0,160.0,17
4000000000.0,14000000.0,17,8,10,420.0,700.0,24
17000000000.0,63000000.0,13,8,2,483.0,350.0,7
3800000000.0,14000000.0,4,4,1,220.0,260.0,8
10900000000.0,40000000.0,6,3,7,1277.0,950.0,5
