price,installment,location,bedroom_count,bathroom_count,carport_count,land_area,building_area
5300000000.0,19000000.0,"Andir, Bandung",4,3,5,394.0,420.0
2000000000.0,7000000.0,"Andir, Bandung",5,4,1,170.0,350.0
1600000000.0,5000000.0,"Andir, Bandung",3,2,0,70.0,116.0
7900000000.0,29000000.0,"Andir, Bandung",5,4,4,500.0,574.0
3250000000.0,12000000.0,"Andir, Bandung",3,2,0,204.0,100.0
3500000000.0,13000000.0,"Andir, Bandung",4,3,3,202.0,300.0
4000000000.0,14000000.0,"Andir, Bandung",4,3,0,255.0,350.0
1100000000.0,4000000.0,"Andir, Bandung",3,2,1,129.0,98.0
1650000000.0,6000000.0,"Andir, Bandung",3,2,1,151.0,180.0
4200000000.0,15000000.0,"Andir, Bandung",8,4,4,655.0,250.0
4200000000.0,15000000.0,"Andir, Bandung",8,4,4,665.0,250.0
3900000000.0,14000000.0,"Andir, Bandung",2,2,0,270.0,450.0
890000000.0,3000000.0,"Andir, Bandung",2,1,1,78.0,45.0
1400000000.0,5000000.0,"Andir, Bandung",8,8,0,237.0,150.0
2200000000.0,8000000.0,"Andir, Bandung",5,4,0,87.0,150.0
3250000000.0,12000000.0,"Andir, Bandung",3,3,1,184.0,300.0
5600000000.0,20000000.0,"Andir, Bandung",0,0,0,394.0,420.0
5000000000.0,18000000.0,"Andir, Bandung",3,2,0,107.0,100.0
1800000000.0,6000000.0,"Andir, Bandung",3,2,2,140.0,90.0
9500000000.0,35000000.0,"Andir, Bandung",6,2,4,391.0,500.0
2500000000.0,9000000.0,"Andir, Bandung",3,2,1,200.0,150.0
1500000000.0,5000000.0,"Andir, Bandung",3,2,1,74.0,100.0
1150000000.0,4000000.0,"Andir, Bandung",3,2,0,127.0,128.0
800000000.0,2000000.0,"Andir, Bandung",2,1,0,41.0,35.0
1950000000.0,7000000.0,"Andir, Bandung",3,2,1,102.0,130.0
4000000000.0,14000000.0,"Andir, Bandung",3,2,2,202.0,360.0
1600000000.0,5000000.0,"Andir, Bandung",3,2,1,150.0,90.0
1980000000.0,7000000.0,"Andir, Bandung",2,2,1,153.0,125.0
1700000000.0,6000000.0,"Andir, Bandung",3,2,1,70.0,116.0
4500000000.0,16000000.0,"Andir, Bandung",5,3,2,404.0,300.0
1400000000.0,5000000.0,"Andir, Bandung",6,4,0,170.0,350.0
2300000000.0,8000000.0,"Andir, Bandung",3,2,1,137.0,170.0
3900000000.0,14000000.0,"Andir, Bandung",0,0,0,124.0,200.0
875000000.0,3000000.0,"Andir, Bandung",2,1,1,78.0,45.0
1700000000.0,6000000.0,"Andir, Bandung",3,2,1,126.0,98.0
2300000000.0,8000000.0,"Andir, Bandung",3,2,0,102.0,94.0
900000000.0,3000000.0,"Andir, Bandung",3,1,0,75.0,100.0
5000000000.0,18000000.0,"Andir, Bandung",5,3,1,142.0,160.0
1500000000.0,5000000.0,"Andir, Bandung",1,1,0,35.0,70.0
1350000000.0,5000000.0,"Andir, Bandung",2,2,0,137.0,160.0
2750000000.0,10000000.0,"Andir, Bandung",3,2,1,346.0,220.0
4000000000.0,14000000.0,"Andir, Bandung",6,5,0,228.0,400.0
8250000000.0,30000000.0,"Andir, Bandung",9,3,3,760.0,970.0
1600000000.0,5000000.0,"Andir, Bandung",8,3,0,193.0,180.0
1150000000.0,4000000.0,"Andir, Bandung",3,2,1,49.0,72.0
775000000.0,2000000.0,"Andir, Bandung",6,6,0,84.0,84.0
6250000000.0,23000000.0,"Andir, Bandung",4,3,3,625.0,457.0
1100000000.0,4000000.0,"Andir, Bandung",3,2,0,110.0,126.0
1650000000.0,6000000.0,"Andir, Bandung",6,3,0,161.0,200.0
2200000000.0,8000000.0,"Andir, Bandung",3,2,0,140.0,160.0
1900000000.0,7000000.0,"Andir, Bandung",6,3,0,161.0,200.0
1750000000.0,6000000.0,"Andir, Bandung",5,4,1,170.0,350.0
3500000000.0,13000000.0,"Andir, Bandung",3,2,1,348.0,200.0
3900000000.0,14000000.0,"Andir, Bandung",2,3,0,270.0,450.0
2000000000.0,7000000.0,"Andir, Bandung",2,3,1,158.0,150.0
5400000000.0,20000000.0,"Andir, Bandung",4,3,4,394.0,400.0
3100000000.0,11000000.0,"Andir, Bandung",4,1,1,350.0,258.0
657000000.0,2000000.0,"Andir, Bandung",3,2,1,160.0,140.0
3750000000.0,13000000.0,"Andir, Bandung",4,3,3,202.0,300.0
1500000000.0,5000000.0,"Andir, Bandung",3,2,0,275.0,300.0
1500000000.0,5000000.0,"Andir, Bandung",3,2,0,110.0,200.0
2500000000.0,9000000.0,"Andir, Bandung",3,2,0,205.0,205.0
300000000.0,1000000.0,"Andir, Bandung",4,3,0,140.0,100.0
5750000000.0,21000000.0,"Andir, Bandung",4,3,0,780.0,400.0
1990000000.0,7000000.0,"Andir, Bandung",12,3,2,104.0,125.0
2500000000.0,9000000.0,"Andir, Bandung",3,2,1,180.0,110.0
1350000000.0,5000000.0,"Andir, Bandung",6,3,0,180.0,160.0
2250000000.0,8000000.0,"Andir, Bandung",4,3,0,180.0,200.0
2300000000.0,8000000.0,"Andir, Bandung",3,2,2,137.0,170.0
